sku;nama_produk;gambar;barcode;sni
ASOW-26;ggorengan Stainless Steel Oriental;;;
ASOW-28;Wajan Penggorengan Stainless Steel Oriental Wok 28 cm;;;
ASOW-28+ASSA- 03B;oriental wok 28 + ASSA 03 B;;;
ASOW-30;Wajan Penggorengan Stainless Steel Oriental Wok 30 cm;;;
ASOW-30+ASSA- 03B;oriental wok 30 + ASSA 03 B;;;
ASPM-115AM;Gilingan Mie / Pasta Maker Ampia;;;?
ASPM-115RD;Gilingan Mie / Pasta Maker Red;;;?
ASPM-115SS;Gilingan Mie / Pasta Maker Stainless;;;?
ASPM-150;Gilingan Mie / Pasta Maker Jumbo;;;?
ASPS-01;Panci Set Marbello Panci Set Lengkap Anti Lengket;;;
ASPS01+CARD;Marbello Cookware Set + CARD - Asta;;;
ASPS-01B;Marbello Cookware Set Beige - Asta;;;
ASPS01B+CARD;Marbello Cookware Set Beige + CARD - Asta;;;
ASPS-02;Panci Set Lemona Panci Set Lengkap Anti Lengket;;;
ASPS02+CARD;Lemona Cookware Set + CARD - Asta;;;
ASPS-05;Panci Set Tokyo;;;
ASPS-05+CARD;7 pcs Tokyo Stainless Steel Cookware Set + CARD - Asta;;;
ASPS-07PK;Panci Set Valentina Panci Set Lengkap Anti Lengket PINK;;;
ASPS07PK+CARD;Valentina 3 pcs Cookware Set Pink + CARD - Asta;;;
ASPS-07PR;Panci Set Valentina Panci Set Lengkap Anti Lengket Purple;;;
ASPS07PR+CARD;Valentina 3 pcs Cookware Set Purple + CARD - Asta;;;
ASPS-08;Panci Set Cappucino Panci Set Lengkap Anti Lengket;;;
ASPS-09;Panci Set New Kiwiz Panci Set Lengkap Anti Lengket;;;
ASPS09+CARD;"New Kiwiz 7 Pieces Cookware Set
+ CARD - Asta";;;
ASPS-10;Panci Set Marbello Rosie Panci Set Lengkap Anti Lengket;;;
ASPS10+CARD;"Marbello Rosie 4 pcs Cookware Set
+ CARD - Asta";;;
ASPS-11;Panci Set Marbello Fiesta Panci Set Lengkap Anti Lengket;;;
ASPS-12;Panci Set Valentina Milan Panci Set Lengkap Anti Lengket;;;
ASPS12+CARD;"Valentina Milan 7 pcs Cookware Set
+ CARD  - Asta";;;
ASPS-15;Panci Set Lemona 100 Panci Set Lengkap Anti Lengket;;;
ASPS15+CARD;"Lemona 100"" 5 pcs Cookware Set
+CARD - Asta";;;
ASPS-16;Panci Set Tempura Panci Set Lengkap Anti Lengket;;;
ASPU-01;Spons Mandi / Shower Puff;;;?
ASRB-01;Rak Kayu / Rak Bumbu Dapur Dari Kayu;;;
ASSA-01A;"Spatula Sutil sodet Stainless
Steel Motif Marble";;;
ASSA-01B;Spatula Sutil sodet kipas Stainless Steel Motif Marble;;;
ASSA-01C;Sendok irus soup ladle Stainless Steel Motif Marble;;;
ASSA-01D;Sendok Irus Skimmer Stainless Steel Motif Marble;;;
ASSA-02A;Spatula Sutil sodet Stainless Steel Motif Hitam;;;
ASSA-02B;Spatula Sutil sodet kipas Stainless Steel Motif Hitam;;;
ASSA-02C;Sendok irus soup ladle Stainless Steel Motif Hitam;;;
ASSA-02D;Sendok Irus Skimmer Stainless Steel Motif Hitam;;;
ASSA-03A;Spatula Sutil sodet Stainless Steel Motif Coklat;;;
ASSA-03B;Spatula Sutil sodet kipas Stainless Steel Motif Coklat;;;
ASSA-03C;Sendok irus soup ladle Stainless Steel Motif Coklat;;;
ASSA-03D;Sendok Irus Skimmer Stainless Steel Motif Coklat;;;
ASSA-04A;Solid Turner Wooden Handle - Asta;;;
ASSA-04C;Soup Laddle Wooden Handle - Asta;;;
ASSA-05L;Teppan Spatula Lebar L - Asta;;;
ASSA-05M;Teppan Spatula Lebar M - Asta;;;
ASSA-06L;Teppan Spatula Panjang L - Asta;;;
ASSA-06M;Teppan Spatula Panjang M - Asta;;;
ASSA-07;Cake Scrapper - Asta;;;
ASSB-06BL;Toples Snack Cantik La Bella Toples Plastik Tebal BLUE;;;?
ASSB-06PK;Toples Snack Cantik La Bella Toples Plastik Tebal PINK;;;?
ASSC-14;Saos Stainless Steel Sauce Contain;;;
ASSC-16;Saos Stainless Steel Sauce Contain;;;
ASSC-18;Saos Stainless Steel Sauce Contain;;;
ASSL-01BL;Silicone Soup Ladle - Blue - Asta;;;?
ASSL-01PK;Silicone Soup Ladle - Pink - Asta;;;?
ASSP-01;Stock Pot Steamer 01 Panci Sop Besar;;;
ASSP-02;Stock Pot 02;;;
ASSP-03;Stock Pot European Style 03 Panci Sop Besar;;;
ASSP-04;Steamer Pot 2 Susun - Asta;;;
ASSR-304;Kukusan Steamer Stainless Steel 304;;;
ASSS-01BL;Spatula Silicone Set BLUE;;;?
ASSS-01PK;Spatula Silicone Set PINK;;;?
ASTS-01BL;Silicone Turner Spatula - Blue - Asta;;;?
ASTS-01PK;Silicone Turner Spatula - Pink - Asta;;;?
ASTW-01;Timer Watch - Asta;;;?
ASWA-01;Spons Cuci Piring Kuning 1 pc;;;?
ASWA-016PCS;Spons Cuci Piring Kuning 6 pcs;;;?
ASWA-02;Spons Cuci Piring Abu-Abu;;;?
ASWA-026PCS;Pisau daging 026PCS;;;?
ASWA-036pcs;Spons Cuci Stock Pot 6 pcs;;;?
ASWK-01;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle;;;
ASWK-02BL;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu BIRU;;;
ASWK-02PK;Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu PINK;;;
ASWK-02PR;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Handle Kayu
UNGU";;;
ASWK-03BM;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Marble Handle
Kayu BLACK";;;
ASWK- 03BM+CARD;Whistling Kettle - 03 (3L) - Black Marble + CARD - Asta;;;
ASWK-03CM;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Marble Handle
Kayu CREAM";;;
ASWK- 03CM+CARD;Whistling Kettle - 03 (3L) - Beige Marble + CARD - Asta;;;
ASWK-04;el / Ceret Air Food Grade Full Stain;;;
ASWS-01;Sutil Kayu Set Warna Spatula Kayu Set;;;?
ASWS-02;Sutil Kayu / Spatula Kayu / Turner;;;?
ASWS-03;"Sendok Sop Kayu
/ Centong Kayu";;;?
ASWS-04;Spatula / Sutil Sode Kayu / Spatula kayu;;;?
ATCA-01;Panci Casserole Premium Tognana Casserole 24 cm;;;
ATCA- 01+ASSL-01BL;Tognana casserole + soup ladle silikon blue;;;
ATCA- 01+ASSL-01PK;Tognana casserole + soup ladle silikon pink;;;
ATCA-01+CARD;Tognana Casserole Set Hadiah;;;
ATFP-01;Panci Penggorengan Premium Tognana Fry Pan 20 cm;;;
ATFP-01+ATFP- 02;Premium Tognana Fry Pan 20 + 24 cm - Asta;;;
ATFP-02;Panci Penggorengan Premium Tognana Fry Pan 24 cm;;;
ATSP-01;Panci Susu Milk Pan Premium Tognana Sauce Pan 18 cm;;;
ATST4-Tognana;Premium Tognana Set 4 (Fry Pan 20 - Fry Pan 24 - Wok - Casserole);;;
ATWO-01;Panci Wok Premium + Tutup Kaca Tognana Wok 28 cm;;;
ATWO- 01+ASTS-01BL;Tognana wok + soup ladle silikon blue;;;
ATWO- 01+ASTS-01PK;Tognana wok + soup ladle silikon pink;;;
ATWO-01+CARD;Tognana Wok Set Hadiah;;;
BB-ASBSLB;Bakeware Loyang Bulat - Asta;;;
BB-ASBSLP;Bakeware Loyang Persegi - Asta;;;
BB-ASBSMS;Bakeware - Measuring Spoon - Asta;;;?
BB-ASBSSP;Bakeware - Spatula - Asta;;;?
BB-ASBUM01CH;Refill Spin Mop Bulat;;;?
BB- ASFM01GL4PCS;Gelas Familia 4 pcs (Set) 4 Warna;;;?
BB-ASFM01GLBG;Gelas Beige Wheatstraw;;;?
BB-ASFM01GLBL;Gelas Blue Wheatstraw;;;?
BB-ASFM01GLGR;Gelas Green Wheatstraw;;;?
BB-ASFM01GLPK;Gelas Pink Wheatstraw;;;?
BB- ASFM01MK4PCS;Mangkok Familia 4 pcs (Set) 4 Warna;;;?
BB- ASFM01MKBG;Mangkok Beige Wheatstraw;;;?
BB- ASFM01MKBL;Mangkok Blue Wheatstraw;;;?
BB- ASFM01MKGR;Mangkok Green Wheatstraw;;;?
BB- ASFM01MKPK;Mangkok Pink Wheatstraw;;;?
BB- ASFM01PR4PCS;Piring Famlia 4 pcs (Set) 4 Warna;;;?
BB-ASFM01PRBG;Piring Beige Wheatstraw;;;?
BB-ASFM01PRBL;Piring Blue Wheatstraw;;;?
BB-ASFM01PRGR;Piring Green Wheatstraw;;;?
BB-ASFM01PRPK;Piring Pink Wheatstraw;;;?
BB-ASPMBM;Botol Minyak - Asta;;;?
BB-ASPMES;Pemisah Telur Plastik / Egg Seperator;;;?
BB-ASPS02MP17;Lemona Milk Pan 17 cm;;;
BB-ASPS02SL;Soup Ladle Nylon Black;;;?
BB-ASPS02SP23;"Lemona Soup Pan
+ Tutup 23 cm";;;
BB-ASPS02ST;Spatula Nylon Black;;;?
B-ASPS02WP32;Lemona Wok Pan 32 cm;;;
B-ASPS07WKPK;DEFFECT Wok Pan Valentina;;;
BB-ASPS09CB;Talenan Kiwiz;;;?
BB-ASPS10WS;Talenan Rosie;;;?
BB-ASPS12WP;Valentina Wok Pan 32 cm;;;
BB-ASSP01PC23;Stock Pot Steamer Set 23 cm;;;
BB- ASSP01PC23OF;Stock Pot Steamer Set 23 cm defect;;;
BB-ASSP01PC25;Stock Pot Steamer Set 25 cm;;;
BB- ASSP01PC25OF;Stock Pot Steamer Set 25 cm defect;;;
BB-ASSP01PC28;Stock Pot Steamer Set 28 cm;;;
BB- ASSP01PC28OF;Stock Pot Steamer Set 28 cm defect;;;
BB-ASSP01PC30;Stock Pot Steamer Set 30 cm;;;
BB- ASSP01PC30OF;Stock Pot Steamer Set 30 cm defect;;;
BB-KSK;Brush coklat;;;?
BB-PMCT;Cutter Adonan;;;?
BB-PMKS;Brush White;;;?
BB-ROCB01;hopping Board Wheat Straw Green;;;?
DLHAMPERS;Delight Hampers;;;
EVHAMPERS;Eve Hampers;;;
FSHAMPERS;Festive Hampers;;;
FTHAMPERS;Bakeware + Pondan GF-PDSP;;;
GF-BBBM;Bumbu Bamboe - Free Gift;;;
GF-OREO;Oreo - Free Gift;;;
GF-STS;Set Stationary;;;
GF-TJJP;Teh Jawa Tubruk Premium (FREE);;;
GF-TT-HORB;"Tong Tji ""Harum Original Tea""";;;
GF-TT-JPB;"Tong Tji ""Jeruk Purut Box""";;;
GF-TT-JTB;"Tong Tji ""Jasmine tea Box""";;;
GF-TT-LMB;"Tong Tji ""Lemon Box""";;;
GF-TT-ORB;"Tong Tji ""Original Tea Box""";;;
JYHAMPERS;Joyful hampers;;;
KR20HAMPERS;Tognana Fry Pan 20 cm + ASFO-06;;;
KR24HAMPERS;Tognana Fry Pan 24 cm + ASFO-06;;;
LBHAMPERS;ASSB-06PK + ASFM-02BG;;;
MBHAMPERS;ASWK-04 + ROSM- 08 + COOKIES;;;
MRHAMPERS;Merry Hampers;;;
NLHAMPERS;Noel Hampers;;;
RDP-105A-1;"10,5"" Dinner Plate
/ Piring Ceper lis emas isi 1";;;
RDP-105A-6;"10,5"" Dinner Plate
/ Piring Ceper lis emas isi 6";;;
RDP-105B-1;"10,5"" Dinner Plate
/ Piring Ceper mahkota isi 1";;;
RDP-105B-6;"10,5"" Dinner Plate
/ Piring Ceper mahkota isi 6";;;
RDP-105C-1;"10,5"" Dinner Plate
/ Piring Ceper rose red isi 1";;;
RDP-105C-6;"10,5"" Dinner Plate
/ Piring Ceper rose red isi 6";;;
RMHAMPERS;ATCA-01 + ASSL- 01BL + COOKIES;;;
ROBB-50;Baskom Jumbo Stainless Steel 50 cm;;;
ROBB-60;Baskom Jumbo Stainless Steel 60 cm;;;
ROBB-70;Baskom Jumbo Stainless Steel 70 cm;;;
ROCB-01BG;Sikat Baju Beige;;;?
ROCB-01GR;Sikat Baju green;;;?
ROCB-01PK;SIkat Baju Pink;;;?
ROCB-02BL;Sikat Lantai Pembersih 02 Blue;;;?
ROCB-02GR;Sikat Lantai Pembersih 02 Green;;;?
ROCB-02PK;Sikat Lantai Pembersih 02 Pink;;;?
ROCM-01A;Capit Makanan ( Food Tong ) 24 cm;;;?
ROCM-01B;Capit Makanan ( Food Tong ) 28 cm;;;
ROCP-01GR;Classic Pot Green - Royalton;;;
ROCP01GR+CAR D;"Classic Pot Green
+ Card - Royalton";;;
ROCP-01RD;Classic Pot Red - Royalton;;;
ROCP01RD+CAR D;Classic Pot Red + Card - Royalton;;;
ROCP01- SETGR16CM;Classic Pot 16 cm Set Green;;;
ROCP01- SETGR18CM;Classic Pot 18 cm Set Green;;;
ROCP01- SETGR20CM;Classic Pot 20 cm Set Green;;;
ROCP01- SETGR22CM;Classic Pot 22 cm Set Green;;;
ROCP01- SETRD16CM;Classic Pot 16 cm Set Red;;;
ROCP01- SETRD18CM;Classic Pot 18 cm Set Red;;;
ROCP01- SETRD20CM;Classic Pot 20 cm Set Red;;;
ROCP01- SETRD22CM;Classic Pot 22 cm Set Red;;;
ROCP01- SETYL16CM;Classic Pot 16 cm Set Yellow;;;
ROCP01- SETYL18CM;Classic Pot 18 cm Set Yellow;;;
ROCP01- SETYL20CM;Classic Pot 20 cm Set Yellow;;;
ROCP01- SETYL22CM;Classic Pot 22 cm Set Yellow;;;
ROCP-01YL;"Classic Pot Yellow
- Royalton";;;
ROCP01YL+CARD;"Classic Pot Yellow
+ Card - Royalton";;;
RODC-01;"Toples Cereal Storage Pet Feeder
1.5 kg";;;?
RODC-02;Toples Cereal Storage Pet Feeder 2 kg;;;?
RODC-02BL;Dry Food Container 2 Kg Blue - Royalton;;;?
RODC-02WH;Dry Food Container 2 Kg White - Royalton;;;?
RODL-01RD;D'lima Red;;;
RODL01RD+CAR D;D lima 5 Pcs Pot Set Red + CARD - Royalton;;;
RODL-01TQ;D'Lima Turquoise;;;
RODL01TQ+CAR D;D lima 5 Pcs Pot Set Turquoise + CARD - Royalton;;;
ROFF-01G;Wadah Saji Prasmanan;;;
ROFF-01G2SET;Fast Food Glass Set (2) - Royalton;;;
ROFL-051;"Senter kepala 50
Watt 051 ( 2 baterai )";;;?
ROFL-052;"Senter Kepala 50
Watt 052 ( 2 baterai )";;;?
ROFO-01;Garpu Makan 12 pcs;;;
ROFO-0124;Garpu Makan 24 pcs;;;
ROFT-A30;Baki / Nampan Persegi Motif Bunga 30 cm;;;
ROFT-B35;Baki / Nampan Bentuk Ikan 35 cm;;;
ROFT-C40;Baki / Nampan Oval Motif 40 cm;;;
ROFT-C50;Baki / Nampan Oval Motif 50 cm;;;
ROFT-D30;Baki / Nampan Segi 6 30 cm;;;
ROHL-031;Senter Kepala 30 Watt;;;?
ROKE-01;Keset Kaki Mutiara Super;;;?
ROKE-013PCS;"Keset Kaki Mutiara Super isi
3pcs";;;?
ROKE-02;Keset Kaki Jerami Super;;;?
ROKE-03;Keset Malaysia 1 pcs;;;?
ROKK-01;"tchen Knife & Cover Green -
Royalt";;;?
ROKS-01;Kitchen Scissors Black;;;?
RONS-01;Nylon Spatula Green - Royalton;;;?
ROOP-01;Oil Pot Saringan Minyak 1.3 L;;;
ROOP-02;Oil Pot Saringan Minyak 1.8 L;;;
ROOP-03;Oil Pot Saringan Minyak 1.3 L + tatakan;;;
ROOP-05;Oil Pot Saringan Minyak 1.8 L + tatakan;;;
ROOS-01;Oil Strainer / Saringan Minyak 18 cm;;;
ROOS-02;Oil Strainer / Saringan Minyak 22 cm;;;
ROOS-03;Oil Strainer / Saringan Minyak 24 cm;;;
ROOS-05;Oil Strainer / Saringan Minyak 28 cm;;;
ROOS-05A;Oil Strainer / Saringan Minyak 30 cm;;;
ROOS-06;Oil Strainer / Saringan Minyak 32 cm;;;
ROOS-07;Oil Strainer / Saringan Minyak 36 cm;;;
ROP-925A-1;"9,25"" Omega Plate / Piring Lontong lis emas isi 1";;;
ROP-925A-6;"9,25"" Omega Plate / Piring Lontong lis emas isi 6";;;
ROP-925B-1;"9,25"" Omega Plate / Piring Lontong mahkota isi 1";;;
ROP-925B-6;"9,25"" Omega Plate / Piring Lontong mahkota isi 6";;;
ROP-925C-1;"9,25"" Omega Plate / Piring Lontong rose red isi 1";;;
ROP-925C-6;"9,25"" Omega Plate / Piring Lontong rose red isi 6";;;
ROSB-01;Tas Belanja Shopping Bag;;;?
ROSI-01;Sapu Ijuk Super;;;?
ROSM-07;Gelas Mug Stainless Steel Mug 7 cm ( Tanpa Tutup );;;
ROSM-08;Gelas Mug Stainless Steel Mug 8 cm;;;
ROSM-09;Gelas Mug Stainless Steel Mug 9 cm;;;
ROSM-10;Gelas Mug Stainless Steel Mug 10 cm;;;
ROSM-11;Gelas Mug Stainless Steel Mug 11 cm;;;
ROSM-12;Gelas Mug Stainless Steel Mug 12 cm;;;
ROSP-01;Sendok Makan 12 pcs;;;
ROSP-0124;Sendok Makan 24 pcs;;;
ROST-01;Sapu Taman Super;;;?
ROTB-10BK;Milk Tea Bucket Water Jug 10 L - Black;;;
ROTB-10RD;Milk Tea Bucket Water Jug 10 L - Red;;;
ROTB-12BK;Milk Tea Bucket Water Jug 12 L - Black;;;
ROTB-12RD;Milk Tea Bucket Water Jug 12 L - Black;;;
RSB-07A-1;"7"" Salad Bowl / Mangkok 7 lis
emas isi 1";;;
RSB-07A-6;"7"" Salad Bowl / Mangkok 7 lis
emas isi 6";;;
RSB-07B-1;"7"" Salad Bowl / Mangkok 7
mahkota isi 1";;;
RSB-07B-6;"7"" Salad Bowl / Mangkok 7
mahkota isi 6";;;
RSB-07C-1;"7"" Salad Bowl / Mangkok 7 rose
red isi 1";;;
RSB-07C-6;"7"" Salad Bowl / Mangkok 7 rose
red isi 6";;;
RSP-09A-1;"9"" Soup Plate / Piring Makan 9 lis emas isi 1";;;
RSP-09A-6;"9"" Soup Plate / Piring Makan 9 lis emas isi 6";;;
RSP-09B-1;"9"" Soup Plate / Piring Makan 9
mahkota isi 1";;;
RSP-09B-6;"9"" Soup Plate / Piring Makan 9
mahkota isi 6";;;
RSP-09C-1;"9"" Soup Plate / Piring Makan 9 rose red isi 1";;;
RSP-09C-6;"9"" Soup Plate / Piring Makan 9 rose red isi 6";;;
SLHAMPERS;ROCP-01GR + ASFO-05;;;
SPHAMPERS;Spark Hampers;;;
TBFM-935- PP08A;Grande Purple;;;?
TBKD-935-YL08A;Grande Kid Yellow;;;?
;Tongkat Pel Soft Choco Mop Set + Kain Refill Mop;;;?
;Tongkat Pel Turquoise Mop Set + Kain Refill Mop;;;?
